"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"7743","4.363869074","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000031000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"7837","4.392375243","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000032000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003100000000000000010000001c000000ffffffffffffffffffffffff"
"7844","4.397224353","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000032000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003100000000000000010000001c000000ffffffffffffffffffffffff"
"8007","4.471622689","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000032000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"8008","4.471623803","192.168.169.2","192.168.169.1","UDP","258","43880  >  8800 Len=132","ef028400020200010200000033000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003200000000000000010000001c000000ffffffffffffffffffffffff33000000000000000300000010000000"
"8010","4.471808147","192.168.169.2","192.168.169.1","UDP","258","43880  >  8800 Len=132","ef028400020200010200000033000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003200000000000000010000001c000000ffffffffffffffffffffffff33000000000000000300000010000000"
"8011","4.472123016","192.168.169.2","192.168.169.1","UDP","258","43880  >  8800 Len=132","ef028400020200010200000033000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003200000000000000010000001c000000ffffffffffffffffffffffff33000000000000000300000010000000"
"8012","4.472419277","192.168.169.2","192.168.169.1","UDP","258","43880  >  8800 Len=132","ef028400020200010200000033000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003200000000000000010000001c000000ffffffffffffffffffffffff33000000000000000300000010000000"
"8113","4.498481060","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000034000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"8168","4.571370786","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000034000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003300000000000000010000001c000000ffffffffffffffffffffffff"
"8169","4.571371506","192.168.169.2","192.168.169.1","UDP","270","43880  >  8800 Len=144","ef029000020200010200000035000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003300000000000000010000001c000000ffffffffffffffffffffffff3400000000000000000000001c000000ff00000000000000e0ffffff"
